item1,item2,value1,value2,value3,value4,value5,value6,value7
100年 5月,苗栗縣,65.04,0.0,44.0,2.9,0.36,14.35,63.8
100年 5月,彰化縣,67.04,0.0,58.5,4.1,0.35,15.35,62.45
100年 5月,南投縣,78.66,0.0,60.4,2.9,0.42,15.4,72.55
100年 5月,雲林縣,86.8,0.0,55.3,3.05,0.34,13.0,68.85
100年 5月,嘉義縣,69.98,0.0,58.4,3.05,0.31,10.3,64.3
100年 5月,屏東縣,62.31,0.0,43.3,3.0,0.3,7.7,63.8
100年 5月,臺東縣,71.84,0.0,22.8,1.7,0.36,6.2,44.1
100年 5月,花蓮縣,31.47,0.0,29.4,1.6,0.41,10.2,47.1
100年 5月,澎湖縣,43.95,0.0,0.0,0.0,0.0,0.0,0.0
100年 5月,基隆市,68.68,0.0,29.1,2.9,0.41,15.2,61.6
100年 5月,新竹市,50.62,0.0,43.4,3.3,0.44,17.3,61.0
100年 5月,嘉義市,75.77,0.0,70.4,3.9,0.43,14.4,64.8
100年 5月,金門縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 5月,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 6月,新北市,58.6,0.0,34.8,4.16,0.43,17.32,59.31
100年 6月,臺北市,50.45,0.0,39.3,3.36,0.6,22.5,54.52
100年 6月,桃園市,35.0,0.0,40.8,5.15,0.36,17.05,51.95
100年 6月,臺中市,71.81,0.0,38.4,3.3,0.33,13.12,57.2
100年 6月,臺南市,48.85,0.0,43.1,3.65,0.26,9.05,49.7
100年 6月,高雄市,71.24,0.0,40.6,5.95,0.27,10.31,42.38
100年 6月,宜蘭縣,55.49,0.0,30.1,2.2,0.28,7.85,38.95
100年 6月,新竹縣,52.69,0.0,33.4,2.9,0.22,10.9,54.6
100年 6月,苗栗縣,38.85,0.0,32.5,3.15,0.24,9.7,54.55
100年 6月,彰化縣,48.82,0.0,43.9,3.0,0.22,9.45,49.25
100年 6月,南投縣,53.38,0.0,36.6,2.15,0.25,8.9,60.6
100年 6月,雲林縣,60.12,0.0,37.0,2.5,0.22,8.5,53.7
100年 6月,嘉義縣,52.35,0.0,41.1,2.75,0.21,8.1,49.2
100年 6月,屏東縣,36.9,0.0,31.5,2.53,0.2,5.53,46.27
100年 6月,臺東縣,58.23,0.0,22.3,1.5,0.3,5.2,28.9
100年 6月,花蓮縣,45.38,0.0,29.6,1.9,0.29,6.1,30.3
100年 6月,澎湖縣,43.77,0.0,0.0,0.0,0.0,0.0,0.0
100年 6月,基隆市,67.94,0.0,25.1,3.9,0.34,14.1,53.7
100年 6月,新竹市,26.13,0.0,30.8,3.4,0.36,13.6,45.9
100年 6月,嘉義市,48.46,0.0,38.7,2.8,0.27,10.2,56.6
100年 6月,金門縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 6月,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 7月,新北市,52.06,0.0,34.1,4.46,0.39,16.23,61.02
100年 7月,臺北市,57.87,0.0,40.5,3.44,0.56,20.68,56.54
100年 7月,桃園市,59.81,0.0,40.4,4.78,0.35,15.48,56.03
100年 7月,臺中市,52.51,0.0,36.8,3.04,0.33,11.62,55.48
100年 7月,臺南市,58.95,0.0,35.6,3.25,0.24,7.85,43.95
100年 7月,高雄市,59.98,0.0,37.3,5.14,0.28,10.39,47.03
100年 7月,宜蘭縣,46.55,0.0,34.1,2.35,0.26,7.85,46.05
100年 7月,新竹縣,58.35,0.0,33.4,2.55,0.2,9.4,58.9
100年 7月,苗栗縣,45.2,0.0,32.0,2.7,0.24,8.7,53.7
100年 7月,彰化縣,54.0,0.0,41.9,3.15,0.21,7.3,44.75
100年 7月,南投縣,56.66,0.0,35.3,2.1,0.24,7.2,59.65
100年 7月,雲林縣,68.57,0.0,36.2,2.25,0.2,7.4,51.4
100年 7月,嘉義縣,37.16,0.0,37.6,2.4,0.18,6.9,43.25
100年 7月,屏東縣,40.94,0.0,31.2,2.27,0.22,5.4,48.5
100年 7月,臺東縣,62.69,0.0,22.6,1.5,0.29,5.5,27.0
100年 7月,花蓮縣,33.02,0.0,25.7,1.5,0.26,5.9,30.4
100年 7月,澎湖縣,43.28,0.0,0.0,0.0,0.0,0.0,0.0
100年 7月,基隆市,49.42,0.0,25.2,3.2,0.33,12.3,57.8
100年 7月,新竹市,40.29,0.0,31.1,3.2,0.36,12.7,48.6
100年 7月,嘉義市,32.12,0.0,31.8,2.5,0.24,7.8,50.1
100年 7月,金門縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 7月,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 8月,新北市,40.13,0.0,32.6,4.09,0.36,15.08,60.14
100年 8月,臺北市,57.1,0.0,38.6,3.08,0.5,19.06,59.02
100年 8月,桃園市,70.56,0.0,39.1,4.63,0.31,15.43,53.78
100年 8月,臺中市,72.37,0.0,38.2,3.38,0.33,12.4,64.0
100年 8月,臺南市,63.49,0.0,39.3,3.9,0.23,8.35,53.48
100年 8月,高雄市,51.14,0.0,40.8,5.9,0.26,10.2,51.21
100年 8月,宜蘭縣,42.52,0.0,29.3,2.1,0.23,6.95,41.65
100年 8月,新竹縣,51.78,0.0,33.2,2.75,0.19,10.15,60.75
100年 8月,苗栗縣,32.53,0.0,34.9,2.7,0.24,9.6,62.35
100年 8月,彰化縣,59.35,0.0,40.5,3.8,0.21,8.2,56.95
100年 8月,南投縣,59.71,0.0,36.0,2.65,0.25,8.6,65.85
100年 8月,雲林縣,73.59,0.0,39.0,2.7,0.2,8.35,59.75
100年 8月,嘉義縣,66.83,0.0,40.6,3.15,0.18,7.6,51.0
100年 8月,屏東縣,62.71,0.0,31.7,2.2,0.19,5.13,45.5
100年 8月,臺東縣,57.13,0.0,24.1,1.8,0.26,5.0,25.7
100年 8月,花蓮縣,44.33,0.0,23.5,1.9,0.26,5.9,27.2
100年 8月,澎湖縣,43.3,0.0,0.0,0.0,0.0,0.0,0.0
100年 8月,基隆市,68.08,0.0,21.7,3.2,0.28,10.5,50.6
100年 8月,新竹市,40.29,0.0,30.8,3.2,0.33,12.6,53.5
100年 8月,嘉義市,48.88,0.0,39.0,3.1,0.25,9.1,61.5
100年 9月,新北市,67.93,0.0,44.4,3.46,0.39,13.87,57.36
100年 9月,臺北市,76.8,0.0,48.3,3.3,0.48,18.9,52.76
100年 9月,桃園市,78.52,0.0,47.7,4.93,0.39,16.05,61.48
100年 9月,臺中市,96.79,0.0,66.5,3.48,0.47,16.75,85.0
100年 9月,臺南市,88.17,0.0,68.0,4.78,0.36,11.25,80.8
100年 9月,高雄市,78.46,0.0,68.7,5.4,0.4,13.2,82.06
100年 9月,宜蘭縣,66.89,0.0,45.5,2.25,0.29,8.0,51.45
100年 9月,新竹縣,75.92,0.0,51.3,3.1,0.3,13.05,69.5
100年 9月,苗栗縣,65.87,0.0,57.2,3.25,0.36,13.0,77.25
100年 9月,彰化縣,99.15,0.0,68.5,4.85,0.39,13.35,83.9
100年 9月,南投縣,81.57,0.0,67.9,3.25,0.42,13.6,92.75
100年 9月,雲林縣,101.13,0.0,68.3,3.6,0.35,12.2,84.75
100年 9月,嘉義縣,97.13,0.0,70.9,4.0,0.32,10.65,83.35
100年 9月,屏東縣,61.25,0.0,54.1,2.7,0.32,6.33,71.77
100年 9月,臺東縣,59.9,0.0,43.3,1.6,0.32,5.7,42.4
100年 9月,花蓮縣,80.49,0.0,37.6,1.7,0.37,8.3,44.9
100年 9月,澎湖縣,43.11,0.0,0.0,0.0,0.0,0.0,0.0
100年 9月,基隆市,68.7,0.0,34.6,2.4,0.31,9.8,51.8
100年 9月,新竹市,30.37,0.0,53.6,3.9,0.38,15.3,68.3
100年 9月,嘉義市,82.36,0.0,70.3,3.8,0.41,13.4,83.3
100年 9月,金門縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 9月,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 10月,新北市,54.73,0.0,40.0,2.7,0.39,14.03,47.08
100年 10月,臺北市,49.92,0.0,42.9,2.56,0.51,20.5,44.98
100年 10月,桃園市,70.85,0.0,43.9,4.08,0.38,15.43,48.68
100年 10月,臺中市,68.75,0.0,50.9,2.75,0.39,15.35,68.25
100年 10月,臺南市,108.93,0.0,73.1,4.13,0.41,15.0,86.4
100年 10月,高雄市,106.3,0.0,81.2,6.36,0.49,18.11,89.61
100年 10月,宜蘭縣,49.98,0.0,37.9,2.0,0.31,9.0,42.75
100年 10月,新竹縣,67.53,0.0,39.7,2.55,0.28,9.9,54.0
100年 10月,苗栗縣,61.88,0.0,43.8,2.6,0.3,11.15,59.2
100年 10月,彰化縣,72.74,0.0,57.9,3.95,0.37,15.0,64.4
100年 10月,南投縣,69.6,0.0,60.0,3.0,0.44,18.15,84.2
100年 10月,雲林縣,88.34,0.0,70.5,3.5,0.36,15.55,76.6
100年 10月,嘉義縣,97.51,0.0,68.7,3.55,0.31,11.9,80.2
100年 10月,屏東縣,91.19,0.0,57.1,3.4,0.36,7.97,75.47
100年 10月,臺東縣,67.53,0.0,30.7,1.4,0.3,5.5,40.5
100年 10月,花蓮縣,44.66,0.0,30.4,1.6,0.37,9.7,40.6
100年 10月,澎湖縣,54.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 10月,基隆市,79.63,0.0,32.8,1.6,0.31,8.4,49.2
100年 10月,新竹市,46.74,0.0,45.6,3.6,0.34,14.4,54.4
100年 10月,嘉義市,76.31,0.0,78.7,5.3,0.5,19.6,81.3
100年 10月,金門縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 10月,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 11月,新北市,38.37,0.0,30.0,2.68,0.43,15.09,40.28
100年 11月,臺北市,51.95,0.0,35.5,2.68,0.55,21.28,35.82
100年 11月,桃園市,40.11,0.0,42.3,4.2,0.44,17.0,39.28
100年 11月,臺中市,120.12,0.0,63.5,3.46,0.58,21.3,58.06
100年 11月,臺南市,128.0,0.0,72.5,3.6,0.48,17.18,61.25
100年 11月,高雄市,106.54,0.0,79.9,6.3,0.56,21.55,66.95
100年 11月,新竹市,22.71,0.0,41.7,3.3,0.46,17.5,44.9
100年 11月,嘉義市,127.21,0.0,84.9,4.5,0.56,20.2,62.0
100年 11月,金門縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 11月,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 12月,新北市,35.95,0.0,32.2,2.58,0.43,15.83,36.9
100年 12月,臺北市,47.61,0.0,34.5,2.48,0.53,22.02,33.18
100年 12月,桃園市,45.38,0.0,40.8,3.33,0.39,15.15,33.9
100年 12月,臺中市,60.84,0.0,41.7,2.56,0.44,16.08,37.84
100年 12月,臺南市,81.32,0.0,70.3,3.53,0.42,17.55,47.93
100年 12月,高雄市,93.34,0.0,86.6,6.39,0.58,25.43,52.01
100年 12月,宜蘭縣,39.99,0.0,25.3,1.85,0.36,11.2,34.55
100年 12月,新竹縣,54.1,0.0,30.2,2.25,0.34,11.4,37.55
100年 12月,苗栗縣,57.47,0.0,33.8,2.7,0.38,12.95,37.4
100年 12月,彰化縣,69.71,0.0,48.3,3.2,0.39,14.65,38.9
100年 12月,南投縣,54.39,0.0,53.5,2.8,0.52,19.6,48.5
100年 12月,雲林縣,65.45,0.0,58.6,3.2,0.39,15.6,43.85
100年 12月,嘉義縣,83.23,0.0,61.9,3.15,0.36,12.5,45.65
100年 12月,屏東縣,63.43,0.0,64.2,2.97,0.45,12.73,54.4
100年 12月,臺東縣,0.0,0.0,26.6,1.8,0.37,7.3,36.5
100年 12月,花蓮縣,40.94,0.0,26.3,2.0,0.47,12.9,35.5
100年 12月,澎湖縣,48.94,0.0,0.0,0.0,0.0,0.0,0.0
100年 12月,基隆市,36.54,0.0,26.8,1.6,0.34,9.1,41.0
100年 12月,新竹市,35.21,0.0,38.3,3.0,0.38,14.2,36.3
100年 12月,嘉義市,97.09,0.0,71.8,4.5,0.51,21.2,45.0
100年 12月,金門縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 12月,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101年,新北市,53.05,0.0,38.0,3.12,0.45,15.97,53.19
101年,臺北市,55.08,0.0,42.3,2.66,0.59,21.58,49.62
101年,桃園市,50.65,0.0,46.4,4.43,0.43,16.83,51.55
101年,臺中市,88.89,0.0,51.3,2.9,0.47,16.74,59.72
101年,臺南市,79.7,0.0,68.6,3.38,0.4,14.3,62.58
101年,高雄市,78.38,0.0,67.1,5.3,0.46,17.51,63.66
101年,宜蘭縣,45.7,0.0,33.9,1.95,0.34,9.05,43.3
101年,新竹縣,57.94,0.0,39.3,2.8,0.35,11.95,56.8
101年,苗栗縣,44.68,0.0,38.9,2.5,0.37,12.5,54.5
101年,彰化縣,60.11,0.0,55.5,3.5,0.38,13.6,56.55
101年,南投縣,62.41,0.0,52.5,2.5,0.44,14.9,63.8
101年,屏東縣,72.42,0.0,53.1,2.37,0.35,8.3,61.3
101年,臺東縣,0.0,0.0,30.8,1.3,0.36,6.5,40.7
101年,花蓮縣,40.75,0.0,28.5,1.5,0.42,10.2,40.1
101年,澎湖縣,60.42,0.0,44.2,1.8,0.26,4.2,52.7
101年,基隆市,54.58,0.0,29.0,2.2,0.38,11.4,50.8
101年,新竹市,38.62,0.0,42.4,3.1,0.45,15.9,52.7
101年,嘉義市,74.77,0.0,69.8,3.5,0.46,15.2,62.1
101年,金門縣,0.0,0.0,74.0,6.1,0.43,12.8,53.7
101年,連江縣,0.0,0.0,48.6,3.2,0.3,6.1,60.6
101年 1月,新北市,73.74,0.0,33.7,2.66,0.5,15.89,38.43
101年 1月,臺北市,67.22,0.0,37.4,2.56,0.64,22.84,34.02
101年 1月,桃園市,58.39,0.0,40.3,3.35,0.47,15.68,35.18
101年 1月,臺中市,105.78,0.0,42.9,2.53,0.5,15.82,40.54
101年 1月,臺南市,75.12,0.0,71.1,2.98,0.49,17.0,49.13
101年 1月,高雄市,108.4,0.0,85.7,5.79,0.62,23.64,53.78
101年 1月,宜蘭縣,66.6,0.0,29.8,2.05,0.44,10.4,37.35
101年 1月,新竹縣,56.89,0.0,33.0,2.25,0.41,11.45,39.85
101年 1月,苗栗縣,74.18,0.0,33.3,2.6,0.45,14.45,37.8
101年 1月,彰化縣,87.15,0.0,48.8,3.2,0.45,14.3,40.4
101年 1月,南投縣,40.67,0.0,52.4,2.45,0.58,19.05,45.8
101年 1月,雲林縣,74.7,0.0,57.1,2.95,0.47,15.35,45.55
101年 1月,嘉義縣,88.73,0.0,61.1,2.9,0.42,11.8,46.15
101年 1月,屏東縣,61.54,0.0,63.7,2.77,0.47,11.47,57.3
101年 1月,臺東縣,0.0,0.0,27.5,1.8,0.46,7.3,41.0
101年 1月,花蓮縣,0.0,0.0,31.4,2.5,0.57,13.4,37.2
101年 1月,澎湖縣,65.14,0.0,44.7,1.9,0.33,4.2,45.6
101年 1月,基隆市,39.57,0.0,28.5,2.0,0.45,11.5,42.6
101年 1月,新竹市,51.66,0.0,38.6,3.2,0.47,15.2,38.9
101年 1月,嘉義市,72.19,0.0,77.6,4.3,0.6,20.8,44.7
101年 1月,金門縣,0.0,0.0,74.4,5.9,0.59,13.2,39.5
101年 1月,連江縣,0.0,0.0,48.4,3.7,0.38,6.2,43.5
101年 2月,新北市,27.25,0.0,31.5,2.79,0.54,18.69,45.94
101年 2月,臺北市,65.61,0.0,38.0,2.78,0.71,26.3,40.42
101年 2月,桃園市,41.54,0.0,42.8,3.5,0.5,19.15,41.0
101年 2月,臺中市,120.36,0.0,49.2,2.5,0.54,18.32,40.9
101年 2月,臺南市,87.34,0.0,76.2,2.78,0.49,17.98,48.3
101年 2月,高雄市,91.08,0.0,83.0,5.6,0.61,23.99,55.96
101年 2月,宜蘭縣,47.64,0.0,22.1,1.7,0.42,10.35,39.0
101年 2月,新竹縣,41.65,0.0,34.9,2.5,0.4,13.55,43.9
101年 2月,苗栗縣,85.85,0.0,33.4,2.3,0.44,16.6,39.1
101年 2月,彰化縣,68.09,0.0,53.0,3.15,0.45,16.1,40.25
101年 2月,南投縣,75.66,0.0,58.8,2.5,0.57,20.7,43.65
101年 2月,雲林縣,89.63,0.0,63.7,2.9,0.46,16.65,44.85
101年 2月,嘉義縣,111.64,0.0,65.4,2.5,0.41,12.7,45.55
101年 2月,屏東縣,102.16,0.0,60.0,2.63,0.44,11.77,56.83
101年 2月,臺東縣,0.0,0.0,21.1,1.6,0.41,6.9,41.3
101年 2月,花蓮縣,23.99,0.0,22.5,1.9,0.48,11.9,39.5
101年 2月,澎湖縣,67.14,0.0,39.5,1.6,0.33,5.2,47.6
101年 2月,基隆市,42.29,0.0,24.4,2.3,0.48,13.1,44.2
101年 2月,新竹市,74.91,0.0,41.5,3.2,0.48,17.3,42.2
101年 2月,嘉義市,131.76,0.0,78.7,3.6,0.58,20.5,44.5
101年 2月,金門縣,0.0,0.0,72.5,5.8,0.56,16.1,37.1
101年 2月,連江縣,0.0,0.0,47.9,3.4,0.4,8.6,41.8
101年 3月,新北市,75.52,0.0,51.9,3.41,0.6,20.76,57.93
101年 3月,臺北市,74.1,0.0,58.2,3.02,0.77,27.96,54.42
101年 3月,桃園市,72.62,0.0,58.6,4.35,0.54,21.33,52.85
101年 3月,臺中市,106.06,0.0,65.6,2.8,0.57,20.64,61.64
101年 3月,臺南市,107.02,0.0,94.5,3.38,0.49,18.05,72.05
101年 3月,高雄市,95.4,0.0,94.0,5.9,0.56,22.14,74.93
101年 3月,宜蘭縣,40.35,0.0,39.8,1.85,0.4,9.9,56.2
101年 3月,新竹縣,79.94,0.0,52.0,3.15,0.44,16.45,59.55
101年 3月,苗栗縣,61.06,0.0,49.4,2.4,0.47,17.1,54.6
101年 3月,彰化縣,65.69,0.0,75.8,3.65,0.48,17.5,61.25
101年 3月,南投縣,67.1,0.0,75.6,2.75,0.56,20.75,67.95
101年 3月,雲林縣,78.34,0.0,79.0,3.2,0.47,16.4,65.4
101年 3月,嘉義縣,93.71,0.0,91.2,3.15,0.44,13.25,66.35
101年 3月,屏東縣,93.13,0.0,71.2,2.7,0.41,10.37,69.0
101年 3月,臺東縣,0.0,0.0,31.8,1.5,0.38,7.8,47.3
101年 3月,花蓮縣,34.57,0.0,32.5,1.6,0.46,10.6,48.5
101年 3月,澎湖縣,51.93,0.0,48.6,1.7,0.31,4.4,61.3
101年 3月,基隆市,39.45,0.0,38.5,3.3,0.52,17.1,54.9
101年 3月,新竹市,54.39,0.0,55.1,2.7,0.56,19.6,49.6
101年 3月,嘉義市,125.05,0.0,89.7,4.1,0.56,20.0,69.1
101年 3月,金門縣,0.0,0.0,91.8,6.9,0.57,17.2,51.7
101年 3月,連江縣,0.0,0.0,59.7,3.1,0.41,8.9,62.1
101年 4月,新北市,81.44,0.0,44.4,3.15,0.55,20.13,60.03
101年 4月,臺北市,62.14,0.0,52.5,2.9,0.74,27.14,54.88
101年 4月,桃園市,36.73,0.0,52.7,4.78,0.5,20.1,56.65
101年 4月,臺中市,94.12,0.0,56.1,3.3,0.53,19.2,58.44
101年 4月,臺南市,62.92,0.0,70.5,3.6,0.4,14.35,61.05
101年 4月,高雄市,80.84,0.0,55.9,5.25,0.41,15.63,57.75
101年 4月,宜蘭縣,46.24,0.0,41.3,2.0,0.38,10.0,52.65
101年 4月,新竹縣,65.31,0.0,45.1,3.0,0.4,14.35,59.95
101年 4月,苗栗縣,42.01,0.0,43.4,2.7,0.39,13.6,54.85
101年 4月,彰化縣,72.08,0.0,61.9,3.5,0.4,14.2,57.15
101年 4月,南投縣,81.47,0.0,56.5,2.45,0.43,15.05,58.2
101年 4月,雲林縣,52.15,0.0,61.8,2.8,0.4,13.4,61.4
101年 4月,嘉義縣,59.09,0.0,69.6,3.0,0.37,11.6,59.8
101年 4月,屏東縣,121.72,0.0,46.7,2.47,0.33,7.87,54.53
101年 4月,臺東縣,0.0,0.0,35.0,1.6,0.4,7.8,49.2
101年 4月,花蓮縣,33.18,0.0,36.1,1.4,0.45,11.0,47.7
101年 4月,澎湖縣,0.0,0.0,46.9,2.0,0.29,5.4,60.7
101年 4月,基隆市,68.75,0.0,34.4,2.6,0.45,14.8,58.5
101年 4月,新竹市,54.71,0.0,45.3,3.2,0.5,18.0,56.6
101年 4月,嘉義市,94.65,0.0,67.3,3.4,0.45,16.4,60.0
101年 4月,金門縣,0.0,0.0,96.8,7.2,0.5,17.2,53.6
101年 4月,連江縣,0.0,0.0,72.7,3.4,0.41,8.3,71.8
101年 5月,新北市,85.75,0.0,34.9,3.4,0.4,15.39,63.78
101年 5月,臺北市,72.63,0.0,42.3,3.1,0.54,21.54,60.58
101年 5月,桃園市,77.64,0.0,42.8,5.1,0.4,17.08,57.65
101年 5月,臺中市,86.78,0.0,44.7,3.0,0.4,15.1,68.43
101年 5月,臺南市,61.16,0.0,58.3,3.55,0.32,10.95,64.3
101年 5月,高雄市,63.49,0.0,48.2,4.7,0.36,13.09,63.61
101年 5月,宜蘭縣,46.62,0.0,32.3,1.75,0.31,9.0,53.3
101年 5月,新竹縣,59.89,0.0,35.8,3.2,0.3,11.4,64.5
101年 5月,苗栗縣,34.92,0.0,30.6,2.5,0.32,10.7,62.7
101年 5月,彰化縣,55.29,0.0,47.7,3.85,0.31,12.0,65.1
101年 5月,南投縣,45.78,0.0,42.9,2.4,0.33,10.95,68.7
101年 5月,雲林縣,62.34,0.0,53.4,2.9,0.3,10.25,68.8
101年 5月,嘉義縣,61.53,0.0,55.6,2.95,0.29,8.8,64.55
101年 5月,屏東縣,52.03,0.0,40.7,2.43,0.28,6.27,62.33
101年 5月,臺東縣,0.0,0.0,25.8,1.5,0.35,6.5,50.0
101年 5月,花蓮縣,43.22,0.0,26.7,1.1,0.41,10.5,48.0
101年 5月,澎湖縣,55.1,0.0,38.3,1.6,0.23,4.0,54.0
101年 5月,基隆市,49.45,0.0,29.9,2.2,0.35,10.7,66.2
101年 5月,新竹市,29.38,0.0,38.7,3.7,0.41,15.6,61.1
101年 5月,嘉義市,53.04,0.0,56.3,3.4,0.37,10.8,66.3
101年 5月,金門縣,0.0,0.0,68.9,5.8,0.44,12.8,63.8
101年 5月,連江縣,0.0,0.0,44.0,2.7,0.28,5.5,70.5
101年 6月,新北市,52.3,0.0,28.2,2.94,0.4,14.84,56.99
101年 6月,臺北市,57.35,0.0,35.7,2.56,0.57,20.94,55.0
101年 6月,桃園市,49.08,0.0,34.8,4.5,0.36,15.45,49.18
101年 6月,臺中市,93.63,0.0,36.8,2.62,0.32,12.18,57.48
101年 6月,臺南市,68.37,0.0,47.1,3.0,0.27,9.38,53.35
101年 6月,高雄市,54.63,0.0,47.1,5.04,0.3,11.13,46.11
101年 6月,宜蘭縣,27.47,0.0,26.4,1.85,0.26,7.85,42.9
101年 6月,新竹縣,66.48,0.0,30.8,2.55,0.25,9.4,51.95
101年 6月,苗栗縣,41.24,0.0,28.1,2.25,0.25,8.6,51.45
101年 6月,彰化縣,50.97,0.0,41.3,2.9,0.24,8.6,54.7
101年 6月,南投縣,42.68,0.0,31.4,2.15,0.28,8.9,58.05
101年 6月,雲林縣,48.97,0.0,41.6,2.55,0.25,8.3,56.35
101年 6月,嘉義縣,33.16,0.0,43.2,2.3,0.23,6.85,54.65
101年 6月,屏東縣,47.15,0.0,35.7,1.7,0.23,5.13,47.27
101年 6月,臺東縣,0.0,0.0,32.8,1.5,0.35,6.6,31.7
101年 6月,花蓮縣,36.72,0.0,20.9,1.2,0.34,7.6,32.3
101年 6月,澎湖縣,47.99,0.0,41.4,1.7,0.19,4.3,42.8
101年 6月,基隆市,55.29,0.0,22.5,2.4,0.32,11.2,51.2
101年 6月,新竹市,27.13,0.0,28.9,2.8,0.36,13.1,49.8
101年 6月,嘉義市,43.19,0.0,0.0,2.7,0.28,8.0,56.2
101年 6月,金門縣,0.0,0.0,45.7,3.5,0.32,7.8,49.7
101年 6月,連江縣,0.0,0.0,33.6,2.3,0.18,3.9,59.6
101年 7月,新北市,35.87,0.0,25.5,3.69,0.29,12.36,53.27
101年 7月,臺北市,44.89,0.0,36.5,2.82,0.42,15.5,50.9
101年 7月,桃園市,57.8,0.0,38.7,3.98,0.28,12.4,52.53
101年 7月,臺中市,59.62,0.0,36.8,3.02,0.27,10.84,56.16
101年 7月,臺南市,61.07,0.0,42.9,3.0,0.24,8.58,52.95
101年 7月,高雄市,45.6,0.0,40.1,4.31,0.27,10.53,49.3
101年 7月,宜蘭縣,53.6,0.0,28.4,2.2,0.2,6.9,39.6
101年 7月,新竹縣,49.64,0.0,30.5,2.6,0.21,8.9,55.2
101年 7月,苗栗縣,30.06,0.0,29.8,2.4,0.22,8.2,50.05
101年 7月,彰化縣,51.92,0.0,39.3,3.25,0.19,7.8,48.35
101年 7月,南投縣,59.85,0.0,32.8,2.35,0.22,7.5,62.95
101年 7月,雲林縣,29.52,0.0,40.7,2.75,0.21,7.3,55.9
101年 7月,嘉義縣,43.58,0.0,42.5,2.45,0.21,7.15,47.25
101年 7月,屏東縣,46.2,0.0,34.8,1.97,0.2,5.77,46.13
101年 7月,臺東縣,0.0,0.0,23.2,1.1,0.27,5.2,28.2
101年 7月,花蓮縣,31.6,0.0,18.8,1.3,0.26,5.9,27.2
101年 7月,澎湖縣,51.38,0.0,32.1,2.2,0.15,4.4,32.8
101年 7月,基隆市,75.86,0.0,20.3,2.0,0.24,10.6,52.0
101年 7月,新竹市,24.46,0.0,26.3,2.8,0.32,11.3,47.0
101年 7月,嘉義市,43.34,0.0,42.1,2.5,0.26,7.0,55.5
101年 7月,金門縣,0.0,0.0,36.2,3.8,0.19,7.7,41.7
101年 7月,連江縣,0.0,0.0,29.8,3.0,0.12,4.4,54.5
101年 8月,新北市,35.65,0.0,32.4,3.02,0.36,12.67,52.0
101年 8月,臺北市,49.88,0.0,34.6,2.42,0.48,16.8,46.82
101年 8月,桃園市,36.23,0.0,40.5,4.18,0.34,13.25,54.25
101年 8月,臺中市,54.97,0.0,44.0,2.7,0.36,12.76,58.22
101年 8月,臺南市,56.98,0.0,43.9,3.23,0.3,10.15,51.2
101年 8月,高雄市,50.82,0.0,39.4,4.53,0.35,12.79,48.8
101年 8月,宜蘭縣,42.77,0.0,30.8,2.15,0.22,6.2,35.6
101年 8月,新竹縣,47.24,0.0,34.4,2.6,0.25,9.1,58.8
101年 8月,苗栗縣,47.66,0.0,34.7,2.05,0.26,8.35,60.1
101年 8月,彰化縣,53.95,0.0,45.6,2.9,0.25,9.2,53.75
101年 8月,南投縣,46.41,0.0,36.6,2.05,0.26,7.75,58.55
101年 8月,雲林縣,44.55,0.0,40.9,2.3,0.26,7.55,58.4
101年 8月,嘉義縣,46.14,0.0,46.4,2.5,0.26,8.0,51.2
101年 8月,屏東縣,49.11,0.0,38.1,1.77,0.26,5.73,51.57
101年 8月,臺東縣,0.0,0.0,30.1,1.1,0.31,5.9,33.0
101年 8月,花蓮縣,53.88,0.0,27.1,1.4,0.31,7.0,31.3
101年 8月,澎湖縣,62.4,0.0,46.1,1.9,0.19,4.5,48.7
101年 8月,基隆市,49.35,0.0,25.0,2.5,0.27,9.9,37.5
101年 8月,新竹市,32.55,0.0,34.7,2.4,0.38,12.2,56.4
101年 8月,嘉義市,43.07,0.0,41.1,2.3,0.31,7.2,57.3
101年 8月,金門縣,0.0,0.0,55.3,4.6,0.28,9.6,54.7
101年 8月,連江縣,0.0,0.0,35.5,2.3,0.15,3.9,58.6
101年 9月,新北市,43.86,0.0,38.5,2.83,0.36,12.78,65.27
101年 9月,臺北市,50.92,0.0,38.5,2.18,0.44,16.76,63.2
101年 9月,桃園市,47.1,0.0,50.6,4.93,0.39,16.08,68.33
