item1,item2,value1,value2,value3,value4,value5,value6,value7
105年 3月,新北市,61.3,0.0,46.3,2.81,0.64,22.37,53.12
105年 3月,臺北市,47.3,0.0,43.7,2.54,0.74,27.95,50.42
105年 3月,桃園市,59.45,0.0,52.9,3.3,0.52,22.34,50.53
105年 3月,臺中市,25.33,0.0,51.9,2.6,0.54,21.67,55.85
105年 3月,臺南市,90.36,0.0,66.4,3.14,0.5,18.83,56.71
105年 3月,高雄市,68.54,0.0,67.1,4.83,0.55,21.93,60.36
105年 3月,宜蘭縣,47.12,0.0,37.9,2.05,0.35,9.8,51.8
105年 3月,新竹縣,70.32,0.0,45.7,2.53,0.41,15.46,55.02
105年 4月,總計,55.96,...,51.0,3.33,0.46,15.10,59.83
105年 5月,總計,44.20,...,39.0,3.19,0.36,12.29,56.82
100年 3月,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105年 6月,總計,34.97,...,28.0,2.89,0.28,10.09,47.39
105年 7月,總計,37.80,...,30.8,2.91,0.25,9.40,52.31
105年 8月,總計,39.83,...,34.0,3.04,0.29,10.39,60.04
105年 9月,總計,38.04,...,33.9,2.69,0.31,10.50,53.71
105年 10月,總計,57.49,...,42.9,3.00,0.33,11.56,56.69
105年 11月,總計,51.35,...,49.8,3.09,0.41,15.47,58.29
105年 12月,總計,68.78,...,55.3,2.94,0.43,15.85,54.05
106年,總計,48.65,20.5,44.0,2.88,0.35,12.86,56.43
106年 1月,總計,68.73,25.8,53.2,2.84,0.43,14.91,53.45
106年 1月,臺中市,49.28,23.8,46.4,2.13,0.43,15.52,51.16
106年 1月,臺南市,86.75,35.6,75.3,3.04,0.46,16.69,60.59
106年 1月,高雄市,98.23,42.2,83.6,4.36,0.53,21.97,71.36
106年 1月,宜蘭縣,53.28,12.6,35.2,1.88,0.32,8.1,45.07
106年 1月,新竹縣,63.27,19.3,38.8,2.29,0.34,9.88,46.26
106年 1月,苗栗縣,0.0,19.9,44.8,2.24,0.36,11.48,46.27
106年 1月,彰化縣,61.53,24.6,53.7,3.43,0.42,14.36,47.93
106年 1月,南投縣,64.17,36.4,63.3,2.54,0.48,17.81,63.85
106年 2月,總計,74.26,27.1,55.1,2.69,0.42,14.88,55.00
106年 3月,總計,67.49,28.1,56.3,3.00,0.46,16.72,62.91
106年 4月,總計,54.88,24.4,48.2,2.99,0.42,14.74,64.52
106年 5月,總計,50.63,18.7,40.3,3.10,0.34,12.20,61.73
106年 6月,總計,36.65,11.0,27.2,2.73,0.27,10.30,44.73
106年 7月,總計,37.37,12.7,29.2,3.02,0.25,9.80,53.03
106年 8月,總計,36.08,14.5,31.6,2.87,0.26,9.48,50.58
106年 9月,總計,46.02,19.5,39.1,3.32,0.31,11.34,64.24
106年 10月,總計,53.25,19.3,46.6,2.66,0.33,11.17,60.33
106年 11月,總計,51.95,20.5,47.7,2.69,0.37,14.02,55.06
106年 12月,總計,61.29,24.3,53.4,2.73,0.40,14.78,51.46
106年 12月,南投縣,33.09,35.7,59.9,2.22,0.46,17.93,55.94
106年 12月,雲林縣,90.68,31.5,75.3,2.87,0.38,14.84,54.94
106年 12月,嘉義縣,78.62,28.9,84.1,2.86,0.36,12.12,55.72
106年 12月,屏東縣,0.0,30.1,64.7,2.43,0.37,11.67,61.21
106年 12月,臺東縣,47.05,11.0,33.7,1.3,0.32,5.85,38.17
106年 12月,花蓮縣,30.09,13.1,27.8,1.73,0.32,8.77,46.66
106年 12月,澎湖縣,0.0,19.9,40.9,1.55,0.27,3.96,51.02
106年 12月,基隆市,71.23,14.2,26.6,1.74,0.31,8.57,46.57
106年 12月,新竹市,12.58,18.1,38.6,2.49,0.38,14.01,45.98
106年 12月,嘉義市,62.74,34.2,72.1,3.5,0.5,20.18,55.85
107年,總計,46.26,19.0,42.6,2.71,0.35,12.20,55.34
107年 1月,總計,54.30,20.8,44.5,2.51,0.42,15.23,47.36
107年 2月,總計,52.35,26.9,55.6,2.44,0.46,15.49,50.51
107年 3月,總計,55.65,25.6,53.3,2.72,0.41,14.75,61.42
107年 4月,總計,57.77,24.7,57.0,2.92,0.37,12.74,64.52
100年 8月,金門縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107年 5月,總計,49.66,17.6,39.5,3.14,0.29,10.80,55.79
