Name,NO,Date,Time,WTemperature,Sampling_depth,Description,Temperature,Water_temperature,Salt,pH,Conductivity,Transparency,Suspended_solids,COD,BOD5,Dissolved_oxygen,Cl,Nitrate_nitrogen,Ammonia_nitrogen,TP,E-coli,Pb,Cd,Cu,Fe,Zn,Cr,Ni,Hg,DOS
典寶橋,303,2017/2/15,16:25,1.82,1.82,1.82,23.5,24.1,8.5,7.9,15600,,7.8,25.2,8.7,5.6,,1.82,9.26,1.32,,-0.01,-0.0003,0.009,0.582,0.055,0.009,0.007,-0.00018,
岡山橋,201,2017/2/10,10:11,14.7,14.7,14.7,17.5,18.4,1,7.4,2130,,5.6,44.1,15.3,3.7,,14.7,12,7.15,,-0.01,-0.0003,0.008,0.417,0.05,0.02,0.011,,
河華橋,202,2017/2/10,10:00,0.18,0.18,0.18,17.8,19.1,0.7,7.5,1490,,17.8,63.4,22.4,4,,0.18,11,1.11,,-0.01,-0.0003,0.011,0.469,0.046,0.01,-0.0039,,
北林路口,,2017/2/8,10:59,0.88,0.88,0.88,27.1,23.6,0.3,8,670,,9,21.6,8.8,4.3,,0.88,9.97,0.594,,-0.01,-0.0003,0.008,0.158,0.071,-0.004,-0.0039,,
中鋼南門橋下,,2017/2/8,11:20,0.47,0.47,0.47,27.2,23,9.4,7.8,17400,,20.4,30.9,12.8,5.1,,0.47,10.6,0.964,,-0.01,-0.0003,0.007,0.413,0.062,-0.004,0.025,,
遊艇碼頭,,2017/2/14,10:02,,,,21.5,19.9,0.2,8.3,396,,9,18.6,6.9,9.5,,,0.36,,110,,,,,,,,,
人行拱橋,,2017/2/14,10:15,,,,22.5,20.8,0.2,7.8,421,,10.4,19.7,7.8,8.3,,,0.37,,810,,,,,,,,,
龍船船塢,,2017/2/14,10:08,,,,21,20.3,0.2,7.6,394,,8,24.3,8.1,7.1,,,0.39,,130,,,,,,,,,
金獅湖,,2017/1/10,09:18,,,,20.5,21.5,0.2,7.6,521,,20.7,27.1,11.1,5.7,,,0.46,,420,,,,,,,,,
內惟埤,,2017/1/10,09:42,,,,21,21.5,0.6,8.3,1250,,25.6,26.4,10.8,5.5,,,0.51,,1700,,,,,,,,,
