Name,Date,TSP,PM10,Chloride,Nitrate,Sulfate,Lead,Dust
西子灣中山大學,2017年09月,56,24,17.8,6.26,11.8,0.023,1.01
岡山醫院,2017年09月,69,,6.42,4.54,15.5,0.01,1.37
林園工業區,2017年09月,59,,8.06,1.13,5.64,0.033,2.82
河濱國小,2017年09月,49,35,3.92,8.32,14.3,0.025,4.63
阿蓮區公所,2017年09月,49,,4.33,3.58,6.37,0.025,2.58
前鎮國小,2017年09月,85,57,2.56,9.31,17.6,0.02,2.81
莊敬國小,2017年09月,50,42,3.11,6.09,13.4,0.031,1.92
愛國國小,2017年09月,52,33,2.8,10.2,15.9,0.026,1.66
楠梓區清潔隊,2017年09月,85,31,5.02,3.78,17.1,0.036,1.71
路竹地政事務所,2017年09月,65,,6.89,3.49,14.3,0.032,2.54
鼓山圖書分館,2017年09月,49,31,3.43,11.3,17.1,0.01,0.81
衛生局中正辦公室,2017年09月,48,32,3.22,6.8,11.9,0.03,2.23
環保局環境檢驗科,2017年09月,56,34,2.38,7.15,14.2,0.025,2.08
大社工業區,2017年10月,95,,,,,0.018,10.66
大寮區公所,2017年10月,83,,,,,0.007,1.83
大樹監測站,2017年10月,72,,,,,0.017,4.19
仁武國中,2017年10月,87,,,,,0.007,1.13
半屏山電信局,2017年10月,76,47,,,,0.024,1.86
左營國小,2017年10月,63,36,,,,0.04,2.64
永安工業區,2017年10月,77,,,,,0.022,2.52
西子灣中山大學,2017年10月,70,39,,,,0.017,1.56
岡山醫院,2017年10月,79,,,,,0.008,1.22
林園工業區,2017年10月,98,,,,,0.008,1.47
河濱國小,2017年10月,59,39,,,,0.033,1.63
阿蓮區公所,2017年10月,67,,,,,0.003,1.51
前鎮國小,2017年10月,91,61,,,,0.028,2.9
莊敬國小,2017年10月,60,47,,,,0.029,1.95
愛國國小,2017年10月,92,55,,,,0.057,2.1
楠梓區清潔隊,2017年10月,89,42,,,,0.03,1.75
路竹地政事務所,2017年10月,76,,,,,0.008,1.24
鼓山圖書分館,2017年10月,80,45,,,,0.024,1.03
衛生局中正辦公室,2017年10月,61,37,,,,0.018,1.89
環保局環境檢驗科,2017年10月,64,39,,,,0.03,2.29
